agent_st_pos_x,agent_st_pos_y,agent_end_pos_x,agent_end_pos_y,agent_ini_pos_x,agent_ini_pos_y,agent_id,duration,user_id,round,st_time_relative,end_time_relative,is_optimal,q_value,expected_q_value
0.4,5.0,1.0,5.0,0,4,0,447,1,4,7.3,7.7,0,1.0,0.0
1.6,5.2,4.0,4.0,1,5,0,429,1,4,8.4,8.9,1,1.0,0.0
4.1,4.1,7.0,6.0,4,4,0,959,1,4,10.0,11.0,0,1.0,0.0555555555555555
7.6,7.0,6.0,6.0,7,6,0,583,1,4,12.5,13.1,0,1.0,0.0
6.3,6.3,5.0,5.0,6,6,0,478,1,4,13.9,14.4,0,1.0,0.0555555555555555
5.3,5.5,3.0,2.0,5,5,0,685,1,4,15.0,15.6,0,1.0,0.0555555555555555
3.6,2.3,1.0,1.0,3,2,0,855,1,4,16.3,17.2,0,1.0,0.0277777777777777
1.7,1.9,2.0,2.0,1,1,0,687,1,4,17.9,18.5,1,1.0,0.1111111111111111
2.7,2.9,3.0,3.0,2,2,0,749,1,4,19.2,20.0,1,1.0,0.1111111111111111
3.9,3.6,4.0,4.0,3,3,0,488,1,4,20.7,21.1,0,1.0,0.0
5.0,4.5,6.0,4.0,4,4,0,590,1,4,21.8,22.4,0,1.0,0.0555555555555555
6.6,4.9,5.0,6.0,6,4,0,696,1,4,23.2,23.9,0,1.0,0.0555555555555555
5.9,6.9,4.0,6.0,5,6,0,720,1,4,24.8,25.5,0,1.0,0.0277777777777777
4.7,6.1,4.0,5.0,4,6,0,615,1,4,26.2,26.8,1,1.0,0.1111111111111111
5.0,5.7,6.0,5.0,4,5,0,481,1,4,27.6,28.1,0,1.0,0.0555555555555555
7.1,5.6,6.0,6.0,6,5,0,575,1,4,29.3,29.8,0,1.0,0.0
6.3,6.3,5.0,4.0,6,6,0,734,1,4,30.4,31.2,1,1.1,0.1111111111111111
5.2,4.3,2.0,3.0,5,4,0,799,1,4,32.0,32.8,0,1.0,0.0277777777777777
3.6,2.6,1.0,2.0,3,2,0,966,1,4,35.2,36.1,1,1.0,0.1111111111111111
1.4,3.4,2.0,1.0,1,2,0,639,1,4,37.6,38.2,0,1.0,0.0555555555555555
1.8,1.9,3.0,1.0,2,1,0,776,1,4,39.6,40.4,0,1.0,0.0555555555555555
3.4,1.6,4.0,5.0,3,1,0,936,1,4,41.1,42.0,0,1.0,0.0277777777777777
5.5,4.9,5.0,6.0,4,5,0,718,1,4,43.6,44.3,1,1.0,0.1111111111111111
6.5,5.6,5.0,5.0,5,6,0,517,1,4,46.3,46.8,1,1.0,0.1111111111111111
5.6,4.8,6.0,4.0,5,5,0,583,1,4,48.4,49.0,0,1.0,0.0555555555555555
6.7,4.5,3.0,3.0,6,4,0,782,1,4,49.5,50.3,0,1.0,0.0
2.9,4.0,4.0,6.0,3,3,0,639,1,4,51.2,51.8,0,1.0,0.0277777777777777
4.7,7.1,5.0,5.0,4,6,0,538,1,4,52.6,53.1,0,1.0,0.0
6.4,4.8,2.0,2.0,5,5,0,867,1,4,54.7,55.6,1,-0.0999999999999998,0.1111111111111111
1.7,2.5,1.0,1.0,2,2,0,703,1,4,56.7,57.4,0,1.0,0.0555555555555555
1.4,1.2,2.0,1.0,1,1,0,615,1,4,58.3,58.9,0,1.0,0.0
2.7,1.4,2.0,3.0,2,1,0,814,1,4,59.8,60.6,0,1.0,0.0
3.3,2.7,4.0,6.0,2,3,0,1105,1,4,61.9,63.0,1,4.4576,0.1111111111111111
4.5,6.9,5.0,6.0,4,6,0,626,1,4,64.0,64.6,0,1.0,0.0
5.9,6.4,5.0,5.0,5,6,0,733,1,4,65.4,66.1,0,1.0,0.0555555555555555
6.1,4.7,4.0,5.0,5,5,0,656,1,4,67.6,68.2,1,-0.0999999999999998,0.1111111111111111
5.4,6.4,6.0,6.0,4,5,0,335,1,4,69.9,70.3,1,1.1,0.1111111111111111
6.7,6.6,5.0,4.0,6,6,0,648,1,4,71.1,71.7,0,1.0,0.0
5.1,4.3,3.0,2.0,5,4,0,718,1,4,72.6,73.3,0,0.5,0.0277777777777777
3.8,2.3,1.0,3.0,3,2,0,663,1,4,74.0,74.7,0,1.0,0.0277777777777777
0.7,4.1,1.0,1.0,1,3,0,766,1,4,76.3,77.1,0,1.0,0.0
2.0,1.4,2.0,2.0,1,1,0,869,1,4,77.8,78.7,0,1.0,0.0277777777777777
3.3,2.7,5.0,4.0,2,2,0,736,1,4,79.8,80.6,0,1.0,0.0555555555555555
6.2,4.1,5.0,5.0,5,4,0,751,1,4,81.6,82.3,0,1.0,0.0277777777777777
5.5,6.7,4.0,6.0,5,5,0,566,1,4,84.3,84.8,0,1.0,0.0555555555555555
4.0,6.0,4.0,4.0,4,6,0,457,1,4,85.9,86.4,0,1.0,0.0277777777777777
5.0,4.3,5.0,6.0,4,4,0,646,1,4,87.3,87.9,0,-0.0999999999999998,0.0555555555555555
5.2,6.4,6.0,5.0,5,6,0,559,1,4,88.8,89.4,1,1.0,0.1111111111111111
6.8,5.2,6.0,6.0,6,5,0,527,1,4,90.3,90.8,0,1.0,0.0277777777777777
7.1,6.3,4.0,5.0,6,6,0,722,1,4,92.6,93.3,0,1.0,0.0
4.1,5.3,2.0,2.0,4,5,0,838,1,4,94.1,95.0,0,1.0,0.0
1.9,3.3,3.0,3.0,2,2,0,455,1,4,96.4,96.9,1,1.0,0.1111111111111111
2.8,3.7,3.0,2.0,3,3,0,578,1,4,98.1,98.7,0,1.0,0.0555555555555555
1.2,5.9,3.0,5.0,1,5,0,970,2,4,7.5,8.5,1,0.89,0.0
3.2,5.8,5.0,5.0,3,5,0,909,2,4,9.2,10.1,0,1.0,0.0
3.5,6.7,3.0,2.0,3,6,0,1171,2,4,21.0,22.1,0,1.0,0.0
3.5,1.3,2.0,2.0,3,1,0,755,2,4,24.4,25.1,0,1.0,0.0
5.5,3.1,5.0,3.0,5,3,0,506,2,4,78.1,78.6,0,1.0,0.0
3.9,3.0,5.0,5.0,4,3,0,1033,2,4,92.9,93.9,1,4.4407223600000005,0.0833333333333333
1.0,3.9,3.0,1.0,1,3,0,836,10,4,3.4,4.3,0,1.0,0.0
3.5,1.4,4.0,4.0,3,1,0,669,10,4,5.0,5.7,0,1.0,0.0277777777777777
5.2,3.8,5.0,4.0,4,4,0,724,10,4,7.7,8.4,0,1.0,0.0277777777777777
5.4,4.4,4.0,5.0,5,4,0,574,10,4,8.9,9.5,0,1.0,0.0555555555555555
4.5,5.0,3.0,3.0,4,5,0,564,10,4,10.4,11.0,0,1.0,0.0555555555555555
3.6,3.3,3.0,2.0,3,3,0,480,10,4,11.8,12.3,0,1.0,0.0
3.2,2.9,1.0,2.0,3,2,0,468,10,4,12.9,13.4,0,1.0,0.0555555555555555
1.3,2.3,1.0,3.0,1,2,0,485,10,4,14.3,14.8,0,1.0,0.0
1.1,3.7,2.0,3.0,1,3,0,633,10,4,15.8,16.5,0,1.0,0.0
2.1,3.6,3.0,1.0,2,3,0,850,10,4,17.4,18.2,0,1.49,0.0555555555555555
3.6,1.3,1.0,1.0,3,1,0,644,10,4,19.0,19.7,0,1.0,0.0
1.6,1.5,3.0,2.0,1,1,0,974,10,4,20.4,21.4,0,1.0,0.0
4.0,2.0,1.0,3.0,3,2,0,797,10,4,22.8,23.6,0,1.0,0.0277777777777777
1.6,3.0,4.0,6.0,1,3,0,954,10,4,24.6,25.6,0,1.0,0.0555555555555555
4.9,6.9,6.0,5.0,4,6,0,913,10,4,26.7,27.6,0,1.0,0.0277777777777777
