agent_st_pos_x,agent_st_pos_y,agent_end_pos_x,agent_end_pos_y,agent_ini_pos_x,agent_ini_pos_y,agent_id,duration,user_id,round,st_time_relative,end_time_relative,is_optimal,q_value,expected_q_value
1.5,7.0,0.0,1.0,1,6,0,1406,2,1,5.9,7.4,0,1.0,0.0
1.2,0.7,3.0,1.0,0,1,0,671,2,1,13.8,14.5,1,1.49,0.0
2.5,1.5,4.0,1.0,2,1,0,776,2,1,17.0,17.7,1,1.0,0.0769230769230769
5.1,2.3,4.0,3.0,4,1,0,552,2,1,19.3,19.8,0,1.0,0.0
5.6,3.7,5.0,5.0,5,3,0,312,2,1,27.4,27.7,1,1.5341,0.0769230769230769
5.0,6.3,5.0,7.0,4,6,0,345,2,1,30.9,31.2,0,1.0,0.0
5.4,7.2,4.0,7.0,5,7,0,337,2,1,32.5,32.9,0,1.0,0.0
5.2,6.8,7.0,7.0,4,7,0,321,2,1,34.7,35.0,1,1.0,0.0
6.9,5.1,7.0,4.0,6,4,0,290,2,1,52.2,52.5,0,1.0,0.0384615384615384
6.8,5.4,7.0,3.0,7,4,0,409,2,1,58.4,58.8,0,1.5407000000000002,0.0
4.5,3.9,4.0,1.0,4,3,0,919,2,1,73.2,74.2,1,1.0,0.0
2.1,1.9,2.0,1.0,2,2,0,128,1,2,7.8,8.0,0,1.0,0.0
2.5,1.4,2.0,1.0,2,1,0,87,1,2,8.2,8.3,1,1.0,0.0769230769230769
2.5,1.4,4.0,3.0,2,1,0,607,1,2,8.4,9.0,1,1.0,0.0769230769230769
5.5,2.7,5.0,3.0,4,3,0,663,1,2,10.6,11.3,1,1.0,0.0
5.1,3.5,7.0,4.0,5,3,0,1590,1,2,12.3,13.9,1,1.0,0.0769230769230769
6.3,3.3,1.0,4.0,6,3,0,1014,1,2,16.4,17.4,0,1.0,0.0
0.9,5.1,4.0,1.0,1,4,0,1406,1,2,18.9,20.3,1,1.0,0.0
3.4,1.6,2.0,7.0,3,1,0,1296,1,2,22.6,23.9,0,1.0,0.0
1.8,6.8,4.0,0.0,2,7,0,1078,1,2,25.4,26.5,1,1.0,0.0
3.7,1.3,4.0,3.0,4,0,0,776,1,2,28.1,28.8,1,1.0,0.1153846153846153
4.4,4.1,0.0,1.0,4,3,0,1359,1,2,29.9,31.2,1,1.0,0.0
0.6,1.4,4.0,7.0,0,1,0,1863,1,2,31.7,33.6,1,1.0,0.0
5.1,7.0,7.0,3.0,4,7,0,759,1,2,34.9,35.6,1,1.0,0.0
7.7,2.5,4.0,1.0,7,3,0,665,1,2,37.5,38.1,0,1.0,0.0
3.9,1.5,2.0,0.0,4,1,0,792,1,2,39.0,39.8,1,2.09,0.0769230769230769
2.8,0.5,2.0,7.0,2,0,0,1070,1,2,40.6,41.6,0,1.0,0.0
1.9,7.2,7.0,4.0,2,7,0,891,1,2,43.1,44.0,1,1.0,0.0
7.3,4.3,7.0,0.0,7,4,0,868,1,2,44.9,45.7,0,3.29,0.0384615384615384
6.9,1.3,1.0,4.0,7,0,0,1114,1,2,47.0,48.1,1,1.0,0.0
2.2,4.9,3.0,1.0,1,4,0,957,1,2,48.9,49.9,1,1.0,0.0
4.0,2.0,4.0,0.0,3,1,0,886,1,2,50.8,51.7,0,1.0,0.0384615384615384
5.2,1.1,7.0,3.0,4,0,0,832,1,2,52.6,53.4,0,1.0,0.0384615384615384
7.0,3.2,0.0,1.0,7,3,0,1175,1,2,54.2,55.4,0,1.1,0.0
0.6,0.7,4.0,3.0,0,1,0,1224,1,2,56.5,57.7,1,1.0,0.0
4.9,3.6,2.0,0.0,4,3,0,757,1,2,58.5,59.3,1,1.0,0.0
3.1,1.2,3.0,1.0,2,0,0,490,1,2,60.0,60.5,1,1.0,0.0769230769230769
3.3,1.5,7.0,0.0,3,1,0,1402,1,2,61.2,62.6,0,1.0,0.0
7.3,0.9,4.0,0.0,7,0,0,1135,1,2,63.4,64.6,1,1.0,0.0
4.4,0.7,1.0,4.0,4,0,0,902,1,2,65.2,66.1,0,1.0,0.0
1.8,4.6,7.0,7.0,1,4,0,1088,1,2,66.9,68.0,1,1.0,0.0
7.8,7.0,7.0,3.0,7,7,0,846,1,2,68.5,69.4,1,1.0,0.0
7.0,3.4,7.0,4.0,7,3,0,639,1,2,70.1,70.8,0,1.0,0.0
7.5,4.3,4.0,1.0,7,4,0,734,1,2,71.3,72.0,0,3.29,0.0384615384615384
4.9,1.2,4.0,3.0,4,1,0,776,1,2,72.8,73.6,0,1.0,0.0384615384615384
4.9,3.1,3.0,1.0,4,3,0,1038,1,2,74.3,75.3,1,1.0,0.0
3.9,2.2,2.0,7.0,3,1,0,1059,1,2,76.1,77.1,0,1.0,0.0384615384615384
2.8,7.2,7.0,3.0,2,7,0,1254,1,2,77.8,79.0,1,2.9000000000000004,0.0
7.4,3.7,1.0,4.0,7,3,0,1302,1,2,79.6,81.0,0,1.0,0.0384615384615384
1.4,4.0,0.0,1.0,1,4,0,1198,1,2,81.8,83.0,1,1.0,0.0
0.9,0.9,4.0,1.0,0,1,0,1069,1,2,84.2,85.3,1,1.0,0.0
4.0,1.3,4.0,0.0,4,1,0,629,1,2,86.4,87.0,1,2.09,0.0769230769230769
3.9,0.9,4.0,3.0,4,0,0,1055,1,2,88.1,89.2,1,0.5,0.1153846153846153
4.6,3.7,7.0,4.0,4,3,0,756,1,2,89.9,90.6,1,1.0,0.0
7.6,4.2,7.0,7.0,7,4,0,1017,1,2,91.5,92.5,1,1.1,0.0769230769230769
7.5,7.1,1.0,4.0,7,7,0,1141,1,2,93.2,94.3,1,1.0,0.0
1.8,4.4,2.0,0.0,1,4,0,919,1,2,95.0,95.9,1,1.0,0.0
2.4,1.0,4.0,0.0,2,0,0,992,1,2,96.6,97.6,0,2.3,0.0
4.8,0.4,7.0,4.0,4,0,0,1245,1,2,98.3,99.5,0,1.0,0.0
2.7,5.5,2.0,7.0,3,5,0,878,7,1,6.0,6.9,1,1.0,0.0
2.9,7.3,4.0,7.0,2,7,0,628,7,1,8.2,8.8,1,1.0,0.0
4.9,7.5,7.0,7.0,4,7,0,777,7,1,9.6,10.3,1,1.0,0.0
7.3,7.3,4.0,1.0,7,7,0,996,7,1,11.2,12.2,1,1.0,0.0
4.8,1.3,4.0,3.0,4,1,0,455,7,1,12.8,13.3,0,1.0,0.0384615384615384
4.3,3.6,4.0,0.0,4,3,0,752,7,1,13.9,14.7,1,1.0,0.0
4.4,0.5,3.0,1.0,4,0,0,456,7,1,15.1,15.5,1,1.0,0.1153846153846153
4.1,1.4,2.0,0.0,3,1,0,768,7,1,16.2,16.9,0,1.0,0.0769230769230769
2.4,0.4,7.0,3.0,2,0,0,855,7,1,17.5,18.3,0,1.0,0.0
5.8,3.7,0.0,1.0,6,4,0,718,7,1,22.1,22.8,0,1.0,0.0
1.2,1.9,3.0,1.0,0,1,0,561,7,1,24.3,24.9,1,1.0,0.0
3.2,1.3,2.0,7.0,3,1,0,763,7,1,25.5,26.2,0,1.7000000000000002,0.0769230769230769
3.0,7.6,4.0,7.0,2,7,0,472,7,1,26.9,27.4,1,1.1,0.0
4.4,7.5,7.0,7.0,4,7,0,616,7,1,28.0,28.6,1,1.0,0.0
7.3,7.4,3.0,1.0,7,7,0,765,7,1,29.0,29.8,1,2.3,0.0
3.2,1.8,4.0,1.0,3,1,0,426,7,1,30.6,31.0,0,5.300000000000001,0.0
4.4,1.9,4.0,3.0,4,1,0,448,7,1,31.6,32.1,0,1.7000000000000002,0.0
5.0,3.8,1.0,4.0,4,3,0,726,7,1,32.6,33.4,1,1.0,0.0
1.9,4.5,7.0,0.0,1,4,0,1671,7,1,34.0,35.7,1,1.0,0.0
6.8,0.5,7.0,3.0,7,0,0,630,7,1,36.7,37.3,1,1.0,0.0
7.3,3.7,7.0,4.0,7,3,0,358,7,1,37.7,38.1,0,3.29,0.0384615384615384
7.2,4.7,4.0,7.0,7,4,0,876,7,1,38.9,39.8,0,1.0,0.0
4.7,7.5,7.0,7.0,4,7,0,623,7,1,40.5,41.2,1,2.9000000000000004,0.0
7.5,7.3,4.0,0.0,7,7,0,744,7,1,41.5,42.3,1,1.0,0.0
3.3,1.6,0.0,1.0,3,1,0,583,7,1,45.2,45.8,0,5.300000000000001,0.0
0.4,2.1,4.0,3.0,0,1,0,844,7,1,47.2,48.1,1,1.0,0.0
4.6,4.6,7.0,7.0,4,3,0,589,7,1,50.2,50.8,1,1.0,0.0
7.5,7.0,4.0,7.0,7,7,0,687,7,1,51.4,52.1,1,2.9000000000000004,0.0
4.7,7.4,1.0,7.0,4,7,0,534,7,1,52.5,53.1,1,0.5,0.0
2.0,7.6,7.0,4.0,1,7,0,719,7,1,54.2,54.9,1,1.0,0.0769230769230769
