agent_st_pos_x,agent_st_pos_y,agent_end_pos_x,agent_end_pos_y,agent_ini_pos_x,agent_ini_pos_y,agent_id,duration,user_id,round,st_time_relative,end_time_relative,is_optimal,q_value,expected_q_value
5.3,7.1,4.0,3.0,5,6,0,1002,2,4,32.5,33.5,0,1.0,0.0
4.6,3.2,4.0,3.0,4,3,0,170,2,4,34.3,34.5,0,1.0,0.0
6.5,3.3,2.0,4.0,6,3,0,830,2,4,41.2,42.0,0,1.0,0.0277777777777777
2.4,5.1,0.0,3.0,2,4,0,783,2,4,42.7,43.4,0,1.0,0.0
0.6,3.9,4.0,2.0,0,3,0,878,2,4,44.2,45.1,0,1.0,0.0
4.3,0.9,2.0,4.0,3,1,0,863,2,4,49.0,49.8,0,1.0,0.0
1.4,4.3,5.0,4.0,2,3,0,1049,2,4,53.9,55.0,0,1.0,0.0277777777777777
6.6,4.1,5.0,7.0,6,4,0,745,2,4,58.2,58.9,0,2.09,0.0
6.9,7.1,3.0,4.0,6,6,0,1312,2,4,66.7,68.0,0,1.0,0.0
3.6,5.1,3.0,5.0,3,4,0,91,2,4,68.9,69.0,0,1.0,0.0
5.9,4.0,3.0,1.0,5,4,0,1386,2,4,74.4,75.8,0,1.0,0.0
4.3,2.5,4.0,3.0,3,2,0,614,2,4,79.5,80.1,0,1.0,0.0
2.3,3.9,2.0,3.0,2,3,0,1337,2,4,85.4,86.7,0,3.29,0.0277777777777777
2.4,3.5,2.0,3.0,2,3,0,319,2,4,87.3,87.6,0,2.951,0.0277777777777777
2.4,3.5,2.0,3.0,2,3,0,792,2,4,88.2,88.9,0,2.6459,0.0277777777777777
2.7,3.4,2.0,3.0,2,3,0,274,2,4,89.5,89.8,0,1.0,0.0277777777777777
1.6,4.3,2.0,3.0,2,3,0,995,2,4,91.0,92.0,0,2.3713100000000003,0.0277777777777777
2.2,3.7,4.0,4.0,2,3,0,417,2,4,92.7,93.1,0,2.7241790000000004,0.0277777777777777
6.6,4.1,3.0,6.0,6,4,0,848,2,4,98.7,99.5,0,1.871,0.0
3.7,6.7,2.0,3.0,4,7,0,673,2,4,103.7,104.4,0,1.0,0.0277777777777777
2.1,3.8,2.0,3.0,2,3,0,155,2,4,105.0,105.2,0,3.0417611000000004,0.0277777777777777
2.5,4.1,2.0,4.0,2,3,0,156,2,4,106.0,106.2,0,1.0,0.0
3.5,4.7,1.0,0.0,2,4,0,767,2,4,107.8,108.5,0,1.0,0.0
6.0,3.0,3.0,3.0,5,3,0,864,3,4,1.4,2.3,0,1.0,0.0
3.4,3.4,2.0,1.0,3,3,0,816,3,4,2.8,3.6,1,1.0,0.1111111111111111
2.4,1.4,1.0,3.0,2,1,0,808,3,4,4.3,5.1,0,1.0,0.0555555555555555
1.8,3.4,1.0,1.0,1,3,0,736,3,4,5.7,6.5,1,1.0,0.1111111111111111
1.6,1.9,5.0,5.0,1,1,0,1072,3,4,7.0,8.1,0,1.0,0.0555555555555555
5.4,5.4,5.0,6.0,5,5,0,471,3,4,8.8,9.2,0,1.0,0.0555555555555555
5.5,6.4,4.0,5.0,5,6,0,656,3,4,9.8,10.5,1,1.0,0.1111111111111111
4.1,5.8,6.0,4.0,4,5,0,816,3,4,11.0,11.9,0,1.0,0.0277777777777777
6.7,4.5,6.0,6.0,6,4,0,640,3,4,12.5,13.1,0,1.0,0.0
