agent_st_pos_x,agent_st_pos_y,agent_end_pos_x,agent_end_pos_y,agent_ini_pos_x,agent_ini_pos_y,agent_id,duration,user_id,round,st_time_relative,end_time_relative,is_optimal,q_value,expected_q_value
1.2,4.3,3.0,1.0,0,3,0,848,2,1,1.6,2.4,1,1.0,0.0769230769230769
2.0,1.8,5.0,1.0,2,1,0,1238,2,1,5.7,6.9,0,1.0,0.0
3.2,1.8,6.0,3.0,3,1,0,1597,2,1,16.8,18.4,0,1.0,0.0
7.5,3.4,6.0,0.0,7,3,0,810,2,1,28.3,29.1,0,1.0,0.0
6.6,0.7,2.0,2.0,6,0,0,1028,2,1,38.6,39.6,0,1.0,0.0
2.2,3.2,2.0,1.0,2,2,0,595,2,1,40.7,41.3,0,1.0,0.0
2.2,1.9,2.0,1.0,2,1,0,469,2,1,42.0,42.5,0,1.0,0.0
4.5,1.0,3.0,3.0,4,0,0,803,2,1,59.1,59.9,0,3.89,0.0769230769230769
2.9,2.9,3.0,3.0,3,3,0,575,2,1,60.7,61.3,0,1.0,0.0
5.7,1.6,2.0,4.0,5,1,0,1023,2,1,66.6,67.6,0,1.0,0.0
1.7,4.6,5.0,7.0,2,4,0,917,2,1,69.7,70.7,1,1.0,0.0769230769230769
4.3,6.4,1.0,7.0,4,6,0,1107,2,1,78.0,79.1,0,1.0,0.0
1.5,7.5,1.0,7.0,1,7,0,235,2,1,79.5,79.8,0,1.0,0.0
1.5,7.5,1.0,7.0,1,7,0,197,2,1,80.4,80.6,0,1.0,0.0
2.3,6.5,6.0,4.0,2,6,0,1039,2,1,82.9,84.0,0,1.0,0.0
7.1,4.0,3.0,2.0,7,3,0,916,2,1,87.3,88.2,0,1.0,0.0384615384615384
4.1,1.2,6.0,4.0,3,0,0,628,2,2,1.3,2.0,1,1.0,0.1538461538461538
6.4,5.1,5.0,3.0,6,4,0,678,2,2,2.7,3.4,0,1.0,0.0
6.1,4.6,3.0,2.0,6,4,0,687,2,2,6.6,7.3,0,1.0,0.0
7.3,5.9,2.0,1.0,7,5,0,1035,2,2,19.1,20.1,0,1.0,0.0
3.6,1.5,3.0,3.0,3,1,0,713,2,2,33.8,34.5,1,3.89,0.1153846153846153
3.3,3.1,2.0,4.0,3,3,0,588,2,2,35.3,35.9,0,1.0,0.0
2.4,5.3,3.0,7.0,2,4,0,867,2,2,37.4,38.3,0,1.0,0.0
4.0,7.5,5.0,4.0,4,7,0,500,2,2,41.3,41.8,1,1.0,0.0
5.4,4.3,5.0,4.0,5,4,0,298,2,2,42.1,42.4,0,1.0,0.0
3.9,3.6,2.0,1.0,4,3,0,706,2,2,50.2,50.9,1,1.0,0.0
2.6,3.2,2.0,1.0,2,3,0,556,2,2,56.1,56.7,0,1.0,0.0
3.0,2.0,3.0,1.0,2,1,0,414,2,2,57.4,57.8,0,3.611,0.0384615384615384
4.8,1.6,3.0,7.0,4,1,0,1124,2,2,61.0,62.1,0,1.0,0.0
3.6,7.3,3.0,7.0,3,7,0,151,2,2,62.8,62.9,0,1.0,0.0
4.3,7.8,1.0,7.0,3,7,0,733,2,2,65.0,65.7,1,4.49,0.0769230769230769
1.4,7.5,1.0,7.0,1,7,0,96,2,2,66.1,66.2,0,1.0,0.0
1.4,7.5,1.0,7.0,1,7,0,110,2,2,66.6,66.7,0,1.0,0.0
1.4,7.5,1.0,7.0,1,7,0,93,2,2,67.2,67.3,0,0.89,0.0
2.4,7.5,7.0,5.0,2,7,0,1148,2,2,70.2,71.4,1,1.0,0.0
7.5,5.7,7.0,5.0,7,5,0,77,2,2,71.8,71.9,0,1.0,0.0
7.5,5.7,7.0,5.0,7,5,0,100,2,2,72.3,72.4,0,0.89,0.0
7.2,5.0,7.0,4.0,7,5,0,93,2,2,73.6,73.7,0,1.0,0.0384615384615384
7.3,5.0,7.0,5.0,7,4,0,127,2,2,74.3,74.4,0,1.0,0.0
7.4,5.3,7.0,5.0,7,5,0,641,2,2,75.0,75.6,0,2.09,0.0384615384615384
7.5,5.0,7.0,4.0,7,5,0,120,2,2,76.5,76.6,0,1.871,0.0384615384615384
7.5,5.0,7.0,4.0,7,4,0,100,2,2,77.3,77.4,0,2.09,0.0
7.5,5.0,7.0,4.0,7,4,0,56,2,2,78.0,78.1,0,1.890251,0.0
7.5,5.0,7.0,4.0,7,4,0,98,2,2,78.5,78.5,0,2.3104769,0.0
7.5,5.0,7.0,4.0,7,4,0,62,2,2,79.0,79.1,0,2.08868021,0.0
7.5,5.0,7.0,1.0,7,4,0,1210,2,2,79.5,80.7,0,1.889063189,0.0
7.7,0.7,7.0,2.0,7,1,0,954,2,2,82.8,83.8,1,1.0,0.0769230769230769
7.5,2.3,7.0,2.0,7,2,0,104,2,2,84.3,84.4,0,1.0,0.0
7.1,3.2,3.0,2.0,7,2,0,805,2,2,85.6,86.5,0,1.0,0.0384615384615384
3.3,2.8,4.0,2.0,3,2,0,482,2,2,87.3,87.8,0,0.89,0.0
4.5,3.5,2.0,1.0,4,2,0,768,2,2,89.5,90.3,0,1.0,0.0769230769230769
3.0,2.1,1.0,0.0,2,1,0,691,2,2,91.4,92.1,0,3.2399,0.0384615384615384
1.6,1.7,3.0,0.0,1,1,0,1191,2,2,96.7,97.9,0,1.0,0.0
2.3,1.3,5.0,1.0,2,1,0,1121,2,2,105.7,106.8,0,1.0,0.0384615384615384
6.5,0.8,7.0,3.0,5,1,0,1887,3,1,2.0,3.8,0,1.0,0.0
6.7,3.7,4.0,3.0,7,3,0,976,3,1,5.8,6.7,0,1.0,0.0
4.1,3.6,1.0,4.0,4,3,0,1480,3,1,7.9,9.4,1,1.0,0.0
2.1,5.2,2.0,7.0,1,4,0,1039,3,1,10.7,11.8,1,1.0,0.0
1.9,7.5,4.0,7.0,2,7,0,1288,3,1,12.9,14.2,1,1.0,0.0
4.1,7.3,3.0,1.0,4,7,0,1271,3,1,15.2,16.4,1,1.0,0.0
3.6,2.3,4.0,1.0,3,1,0,744,3,1,17.4,18.2,0,1.0,0.0
4.4,1.5,4.0,0.0,4,1,0,879,3,1,18.9,19.7,1,1.0,0.0769230769230769
4.3,0.5,0.0,1.0,4,0,0,1216,3,1,20.6,21.8,0,1.0,0.0
0.7,2.5,1.0,4.0,0,1,0,936,3,1,23.0,23.9,1,1.0,0.0
1.4,5.2,7.0,7.0,1,4,0,1128,3,1,25.1,26.3,1,1.0,0.0
7.3,7.5,7.0,3.0,7,7,0,736,3,1,27.1,27.8,1,1.0,0.0
7.6,3.1,7.0,0.0,7,3,0,736,3,1,28.7,29.4,0,1.0,0.0
7.3,0.6,4.0,3.0,7,0,0,1039,3,1,30.1,31.1,1,1.0,0.0
4.5,4.1,4.0,1.0,4,3,0,839,3,1,32.0,32.8,1,1.0,0.0
5.4,1.0,2.0,0.0,4,1,0,831,3,1,34.6,35.4,0,1.0,0.0384615384615384
3.4,0.8,1.0,4.0,2,0,0,887,3,1,37.2,38.1,0,1.0,0.0
2.1,4.0,2.0,7.0,1,4,0,1056,3,1,38.9,40.0,1,1.0,0.0
1.8,7.2,7.0,4.0,2,7,0,1224,3,1,40.8,42.0,1,1.0,0.0
7.6,5.1,7.0,3.0,7,4,0,672,3,1,43.2,43.9,0,1.0,0.0
7.6,2.9,4.0,0.0,7,3,0,1200,3,1,45.0,46.2,0,1.0,0.0
5.3,0.5,0.0,1.0,4,0,0,952,3,1,47.6,48.5,0,1.0,0.0
0.6,2.1,4.0,1.0,0,1,0,720,3,1,49.3,50.0,1,1.0,0.0
4.1,1.7,4.0,7.0,4,1,0,1040,3,1,50.9,52.0,1,1.0,0.0769230769230769
4.7,7.1,7.0,7.0,4,7,0,944,3,1,53.0,53.9,1,1.0,0.0
7.5,7.5,7.0,4.0,7,7,0,832,3,1,54.6,55.5,1,1.0,0.0
7.4,4.9,7.0,0.0,7,4,0,783,3,1,56.3,57.1,0,1.0,0.0
7.1,0.9,4.0,0.0,7,0,0,880,3,1,57.9,58.7,1,1.0,0.0
4.2,0.8,2.0,0.0,4,0,0,688,3,1,59.7,60.4,1,1.0,0.1153846153846153
2.7,0.6,4.0,3.0,2,0,0,1120,3,1,61.0,62.2,0,1.0,0.0
4.3,3.7,1.0,4.0,4,3,0,752,3,1,62.8,63.6,1,1.0,0.0
1.1,4.1,2.0,7.0,1,4,0,840,3,1,64.6,65.5,1,1.0,0.0
2.7,6.9,4.0,7.0,2,7,0,704,3,1,66.7,67.4,1,1.0,0.0
4.4,7.4,4.0,1.0,4,7,0,1096,3,1,68.1,69.2,1,1.0,0.0
5.0,1.9,3.0,1.0,4,1,0,496,3,1,69.9,70.4,0,1.0,0.0
3.4,1.5,2.0,0.0,3,1,0,559,3,1,71.0,71.5,0,1.0,0.0769230769230769
3.3,0.7,4.0,0.0,3,0,0,543,3,1,74.4,75.0,0,1.0,0.0769230769230769
4.7,0.7,7.0,0.0,4,0,0,768,3,1,75.7,76.4,0,1.0,0.0
7.5,0.7,7.0,4.0,7,0,0,831,3,1,77.0,77.8,1,1.0,0.0
7.6,4.1,7.0,7.0,7,4,0,1103,3,1,78.5,79.6,1,1.0,0.0769230769230769
7.5,7.5,0.0,1.0,7,7,0,1135,3,1,80.2,81.3,1,1.0,0.0
1.3,1.2,4.0,3.0,0,1,0,1000,3,1,82.4,83.4,1,1.0,0.0
4.5,3.7,7.0,3.0,4,3,0,920,3,1,84.1,85.0,1,1.0,0.0
7.5,3.5,2.0,7.0,7,3,0,1104,3,1,85.5,86.6,0,1.0,0.0
2.5,7.5,1.0,4.0,2,7,0,895,3,1,87.2,88.0,1,1.0,0.0
1.9,4.5,3.0,1.0,1,4,0,864,3,1,88.7,89.6,1,1.0,0.0
3.6,1.3,4.0,1.0,3,1,0,812,3,1,90.2,91.0,0,1.0,0.0
4.5,1.6,2.0,0.0,4,1,0,728,3,1,91.6,92.3,1,1.0,0.0769230769230769
2.3,0.5,0.0,1.0,2,0,0,832,3,1,92.9,93.7,0,1.0,0.0
0.5,1.9,1.0,4.0,0,1,0,936,3,1,94.4,95.3,1,1.0,0.0
1.6,4.7,3.0,1.0,1,4,0,1072,3,1,95.9,97.0,1,1.0,0.0
3.2,1.7,4.0,1.0,3,1,0,783,3,1,97.5,98.3,0,1.0,0.0
4.2,1.8,7.0,3.0,4,1,0,960,3,1,98.8,99.8,0,1.0,0.0384615384615384
