"user_id","round","agent_id","tile_x","tile_y","cnt"
1,1,0,0,1,0
1,1,0,7,0,1
1,1,0,3,1,0
1,1,0,1,4,0
1,1,0,7,4,3
1,1,0,2,0,0
1,1,0,7,7,0
1,1,0,7,3,1
1,1,0,4,0,0
1,1,0,2,7,0
1,1,0,4,1,0
1,1,0,4,3,7
1,1,0,4,7,0
2,1,0,0,1,2
2,1,0,7,0,0
2,1,0,3,1,6
2,1,0,1,4,0
2,1,0,7,4,3
2,1,0,2,0,5
2,1,0,7,7,1
2,1,0,7,3,1
2,1,0,4,0,0
2,1,0,2,7,0
2,1,0,4,1,2
2,1,0,4,3,4
2,1,0,4,7,1
1,2,0,0,1,3
1,2,0,7,0,2
1,2,0,3,1,4
1,2,0,1,4,5
1,2,0,7,4,5
1,2,0,2,0,3
1,2,0,7,7,2
1,2,0,7,3,4
1,2,0,4,0,5
1,2,0,2,7,3
1,2,0,4,1,4
1,2,0,4,3,5
1,2,0,4,7,1
7,1,0,0,1,4
7,1,0,7,0,4
7,1,0,3,1,7
7,1,0,1,4,2
7,1,0,7,4,4
7,1,0,2,0,4
7,1,0,7,7,6
7,1,0,7,3,4
7,1,0,4,0,5
7,1,0,2,7,3
7,1,0,4,1,4
7,1,0,4,3,5
7,1,0,4,7,6
10,1,0,0,1,5
10,1,0,7,0,3
10,1,0,3,1,5
10,1,0,1,4,4
10,1,0,7,4,3
10,1,0,2,0,7
10,1,0,7,7,2
10,1,0,7,3,3
10,1,0,4,0,6
10,1,0,2,7,1
10,1,0,4,1,8
10,1,0,4,3,5
10,1,0,4,7,2
3,1,0,0,1,0
3,1,0,7,0,0
3,1,0,3,1,3
3,1,0,1,4,2
3,1,0,7,4,2
3,1,0,2,0,4
3,1,0,7,7,0
3,1,0,7,3,1
3,1,0,4,0,0
3,1,0,2,7,1
3,1,0,4,1,2
3,1,0,4,3,1
3,1,0,4,7,1
9,1,0,0,1,0
9,1,0,7,0,0
9,1,0,3,1,4
9,1,0,1,4,0
9,1,0,7,4,2
9,1,0,2,0,4
9,1,0,7,7,0
9,1,0,7,3,2
9,1,0,4,0,1
9,1,0,2,7,0
9,1,0,4,1,2
9,1,0,4,3,0
9,1,0,4,7,0
8,1,0,0,1,1
8,1,0,7,0,3
8,1,0,3,1,0
8,1,0,1,4,0
8,1,0,7,4,2
8,1,0,2,0,1
8,1,0,7,7,1
8,1,0,7,3,2
8,1,0,4,0,1
8,1,0,2,7,1
8,1,0,4,1,1
8,1,0,4,3,0
8,1,0,4,7,1
5,1,0,0,1,5
5,1,0,7,0,5
5,1,0,3,1,6
5,1,0,1,4,6
5,1,0,7,4,6
5,1,0,2,0,5
5,1,0,7,7,6
5,1,0,7,3,6
5,1,0,4,0,7
5,1,0,2,7,6
5,1,0,4,1,5
5,1,0,4,3,6
5,1,0,4,7,8
12,1,0,0,1,0
12,1,0,7,0,0
12,1,0,3,1,0
12,1,0,1,4,0
12,1,0,7,4,2
12,1,0,2,0,0
12,1,0,7,7,0
12,1,0,7,3,0
12,1,0,4,0,0
12,1,0,2,7,2
12,1,0,4,1,0
12,1,0,4,3,1
12,1,0,4,7,3
2,2,0,0,1,0
2,2,0,7,0,0
2,2,0,3,1,1
2,2,0,1,4,0
2,2,0,7,4,0
2,2,0,2,0,0
2,2,0,7,7,0
2,2,0,7,3,0
2,2,0,4,0,0
2,2,0,2,7,0
2,2,0,4,1,1
2,2,0,4,3,1
2,2,0,4,7,2
13,1,0,0,1,1
13,1,0,7,0,1
13,1,0,3,1,2
13,1,0,1,4,2
13,1,0,7,4,3
13,1,0,2,0,1
13,1,0,7,7,1
13,1,0,7,3,1
13,1,0,4,0,1
13,1,0,2,7,2
13,1,0,4,1,4
13,1,0,4,3,2
13,1,0,4,7,4
7,2,0,0,1,2
7,2,0,7,0,3
7,2,0,3,1,2
7,2,0,1,4,1
7,2,0,7,4,4
7,2,0,2,0,5
7,2,0,7,7,3
7,2,0,7,3,2
7,2,0,4,0,2
7,2,0,2,7,3
7,2,0,4,1,5
7,2,0,4,3,4
7,2,0,4,7,2
1,3,0,0,1,4
1,3,0,7,0,4
1,3,0,3,1,4
1,3,0,1,4,3
1,3,0,7,4,3
1,3,0,2,0,3
1,3,0,7,7,3
1,3,0,7,3,4
1,3,0,4,0,6
1,3,0,2,7,4
1,3,0,4,1,6
1,3,0,4,3,6
1,3,0,4,7,6
10,2,0,0,1,2
10,2,0,7,0,2
10,2,0,3,1,6
10,2,0,1,4,5
10,2,0,7,4,6
10,2,0,2,0,5
10,2,0,7,7,1
10,2,0,7,3,5
10,2,0,4,0,4
10,2,0,2,7,3
10,2,0,4,1,7
10,2,0,4,3,7
10,2,0,4,7,3
20,1,0,0,1,0
20,1,0,7,0,0
20,1,0,3,1,0
20,1,0,1,4,1
20,1,0,7,4,2
20,1,0,2,0,0
20,1,0,7,7,0
20,1,0,7,3,0
20,1,0,4,0,0
20,1,0,2,7,1
20,1,0,4,1,0
20,1,0,4,3,0
20,1,0,4,7,2
3,2,0,0,1,3
3,2,0,7,0,0
3,2,0,3,1,3
3,2,0,1,4,0
3,2,0,7,4,0
3,2,0,2,0,2
3,2,0,7,7,0
3,2,0,7,3,0
3,2,0,4,0,1
3,2,0,2,7,0
3,2,0,4,1,5
3,2,0,4,3,1
3,2,0,4,7,0
9,2,0,0,1,0
9,2,0,7,0,0
9,2,0,3,1,1
9,2,0,1,4,0
9,2,0,7,4,0
9,2,0,2,0,0
9,2,0,7,7,1
9,2,0,7,3,1
9,2,0,4,0,1
9,2,0,2,7,0
9,2,0,4,1,4
9,2,0,4,3,1
9,2,0,4,7,1
8,2,0,0,1,1
8,2,0,7,0,0
8,2,0,3,1,1
8,2,0,1,4,3
8,2,0,7,4,0
8,2,0,2,0,0
8,2,0,7,7,1
8,2,0,7,3,0
8,2,0,4,0,1
8,2,0,2,7,1
8,2,0,4,1,0
8,2,0,4,3,0
8,2,0,4,7,0
2,3,0,0,1,0
2,3,0,7,0,1
2,3,0,3,1,1
2,3,0,1,4,0
2,3,0,7,4,0
2,3,0,2,0,0
2,3,0,7,7,0
2,3,0,7,3,0
2,3,0,4,0,1
2,3,0,2,7,1
2,3,0,4,1,1
2,3,0,4,3,1
2,3,0,4,7,1
12,2,0,0,1,0
12,2,0,7,0,0
12,2,0,3,1,0
12,2,0,1,4,3
12,2,0,7,4,0
12,2,0,2,0,0
12,2,0,7,7,0
12,2,0,7,3,1
12,2,0,4,0,0
12,2,0,2,7,1
12,2,0,4,1,0
12,2,0,4,3,0
12,2,0,4,7,0
6,1,0,0,1,1
6,1,0,7,0,0
6,1,0,3,1,3
6,1,0,1,4,0
6,1,0,7,4,0
6,1,0,2,0,4
6,1,0,7,7,0
6,1,0,7,3,0
6,1,0,4,0,1
6,1,0,2,7,0
6,1,0,4,1,12
6,1,0,4,3,0
6,1,0,4,7,0
7,3,0,0,1,1
7,3,0,7,0,4
7,3,0,3,1,3
7,3,0,1,4,2
7,3,0,7,4,4
7,3,0,2,0,2
7,3,0,7,7,1
7,3,0,7,3,3
7,3,0,4,0,2
7,3,0,2,7,1
7,3,0,4,1,2
7,3,0,4,3,2
7,3,0,4,7,2
10,3,0,0,1,3
10,3,0,7,0,5
10,3,0,3,1,5
10,3,0,1,4,4
10,3,0,7,4,2
10,3,0,2,0,4
10,3,0,7,7,2
10,3,0,7,3,5
10,3,0,4,0,7
10,3,0,2,7,2
10,3,0,4,1,8
10,3,0,4,3,7
10,3,0,4,7,2
23,1,0,0,1,0
23,1,0,7,0,0
23,1,0,3,1,0
23,1,0,1,4,0
23,1,0,7,4,1
23,1,0,2,0,0
23,1,0,7,7,7
23,1,0,7,3,0
23,1,0,4,0,0
23,1,0,2,7,1
23,1,0,4,1,0
23,1,0,4,3,5
23,1,0,4,7,0
1,4,0,2,2,4
1,4,0,1,2,1
1,4,0,2,1,2
1,4,0,2,3,2
1,4,0,3,2,4
1,4,0,1,1,3
1,4,0,1,3,1
1,4,0,3,1,1
1,4,0,3,3,3
1,4,0,5,5,5
1,4,0,4,5,4
1,4,0,5,4,3
1,4,0,5,6,4
1,4,0,6,5,2
1,4,0,4,4,3
1,4,0,4,6,4
1,4,0,6,4,2
1,4,0,6,6,4
3,3,0,0,1,1
3,3,0,7,0,0
3,3,0,3,1,0
3,3,0,1,4,0
3,3,0,7,4,5
3,3,0,2,0,1
3,3,0,7,7,0
3,3,0,7,3,1
3,3,0,4,0,0
3,3,0,2,7,0
3,3,0,4,1,1
3,3,0,4,3,0
3,3,0,4,7,0
20,2,0,0,1,0
20,2,0,7,0,0
20,2,0,3,1,1
20,2,0,1,4,4
20,2,0,7,4,0
20,2,0,2,0,0
20,2,0,7,7,2
20,2,0,7,3,0
20,2,0,4,0,0
20,2,0,2,7,0
20,2,0,4,1,0
20,2,0,4,3,0
20,2,0,4,7,0
22,1,0,0,1,1
22,1,0,7,0,1
22,1,0,3,1,0
22,1,0,1,4,1
22,1,0,7,4,1
22,1,0,2,0,0
22,1,0,7,7,1
22,1,0,7,3,1
22,1,0,4,0,1
22,1,0,2,7,1
22,1,0,4,1,2
22,1,0,4,3,3
22,1,0,4,7,1
12,3,0,0,1,0
12,3,0,7,0,0
12,3,0,3,1,1
12,3,0,1,4,3
12,3,0,7,4,0
12,3,0,2,0,0
12,3,0,7,7,0
12,3,0,7,3,0
12,3,0,4,0,0
12,3,0,2,7,0
12,3,0,4,1,0
12,3,0,4,3,0
12,3,0,4,7,0
21,1,0,0,1,1
21,1,0,7,0,0
21,1,0,3,1,1
21,1,0,1,4,1
21,1,0,7,4,3
21,1,0,2,0,0
21,1,0,7,7,0
21,1,0,7,3,2
21,1,0,4,0,2
21,1,0,2,7,0
21,1,0,4,1,0
21,1,0,4,3,5
21,1,0,4,7,1
9,3,0,0,1,0
9,3,0,7,0,0
9,3,0,3,1,0
9,3,0,1,4,0
9,3,0,7,4,1
9,3,0,2,0,3
9,3,0,7,7,0
9,3,0,7,3,0
9,3,0,4,0,4
9,3,0,2,7,0
9,3,0,4,1,1
9,3,0,4,3,0
9,3,0,4,7,2
19,1,0,0,1,0
19,1,0,7,0,2
19,1,0,3,1,0
19,1,0,1,4,0
19,1,0,7,4,0
