agentid,step,ExpectedQvalue,CumulativeReward
0,1,60.00000000000003,0
0,2,55.846153846153854,0
0,3,59.500000000000014,0
0,4,62.46153846153848,6
0,5,58.49999999999998,18
0,6,58.923076923076934,18
0,7,56.307692307692335,18
0,8,55.73076923076921,18
0,9,76.9230769230769,30
0,10,93.11538461538463,78
0,11,91.5384615384615,114
0,12,122.15384615384609,114
0,13,124.34615384615377,114
0,14,111.73076923076924,126
0,15,125.65384615384616,132
0,16,114.49999999999993,162
0,17,98.80769230769221,204
0,18,106.53846153846156,210
0,19,110.84615384615388,210
0,20,166.23076923076917,222
0,21,161.61538461538473,228
0,22,177.50000000000003,234
0,23,170.0769230769231,234
0,24,162.42307692307702,252
0,25,185.50000000000003,258
0,26,162.53846153846158,258
0,27,171.1538461538462,264
0,28,176.34615384615392,264
0,29,184.96153846153862,264
0,30,180.80769230769238,270
0,31,164.07692307692312,270
0,32,182.96153846153854,276
0,33,157.73076923076934,276
0,34,166.96153846153854,276
0,35,166.6923076923078,276
0,36,161.19230769230774,294
0,37,122.19230769230762,336
0,38,120.92307692307692,384
0,39,130.76923076923075,384
0,40,123.84615384615387,390
0,41,115.8076923076923,420
0,42,131.1538461538462,432
0,43,113.46153846153845,438
0,44,171.03846153846158,510
0,45,170.0384615384616,510
0,46,122.88461538461539,534
0,47,131.07692307692304,534
0,48,127.5769230769231,540
0,49,131.61538461538464,546
0,50,127.88461538461536,552
1,1,56.73076923076923,0
1,2,57.923076923076906,6
1,3,61.6153846153846,6
1,4,63.076923076923066,12
1,5,61.769230769230774,12
1,6,58.769230769230774,18
1,7,60.769230769230745,18
1,8,64.0769230769231,18
1,9,68.19230769230766,36
1,10,64.57692307692307,48
1,11,67.30769230769232,60
1,12,94.65384615384617,66
1,13,95.15384615384615,66
1,14,95.26923076923073,72
1,15,95.92307692307693,78
1,16,99.88461538461536,90
1,17,97.15384615384612,90
1,18,97.9615384615384,90
1,19,93.34615384615383,96
1,20,100.88461538461532,120
1,21,89.84615384615384,120
1,22,95.57692307692307,120
1,23,95.3461538461538,126
1,24,94.23076923076918,150
1,25,81.73076923076916,150
1,26,90.57692307692304,174
1,27,99.76923076923075,192
1,28,95.96153846153841,210
1,29,98.9615384615384,210
1,30,110.57692307692305,210
1,31,106.03846153846149,210
1,32,112.46153846153844,234
1,33,102.8076923076923,240
1,34,105.8076923076923,240
1,35,103.38461538461536,240
1,36,108.5384615384615,246
1,37,108.34615384615383,252
1,38,112.76923076923076,252
1,39,106.80769230769228,258
1,40,105.92307692307688,270
1,41,110.57692307692308,270
1,42,95.6923076923077,270
1,43,103.99999999999997,276
1,44,109.6923076923077,282
1,45,109.8076923076923,294
1,46,110.1923076923077,300
1,47,106.6153846153846,312
1,48,107.4615384615384,312
1,49,97.92307692307696,312
1,50,109.7307692307692,324
