agentid,step,ExpectedQvalue,CumulativeReward
0,1,97.75,6
0,2,130.8888888888889,12
0,3,151.94444444444449,12
0,4,144.22222222222226,12
0,5,146.19444444444443,18
0,6,149.19444444444446,24
0,7,157.38888888888894,30
0,8,141.50000000000003,66
0,9,143.91666666666669,78
0,10,118.36111111111116,84
0,11,166.0277777777778,114
0,12,180.1388888888889,162
0,13,161.97222222222229,180
0,14,161.83333333333337,216
0,15,172.41666666666666,216
0,16,163.6666666666667,222
0,17,169.63888888888894,276
0,18,174.2777777777778,330
0,19,174.86111111111117,342
0,20,205.7222222222224,360
0,21,198.05555555555551,366
0,22,221.72222222222226,378
0,23,200.05555555555563,450
0,24,210.86111111111114,474
0,25,195.69444444444454,528
0,26,268.75000000000006,534
0,27,282.50000000000017,540
0,28,219.33333333333337,654
0,29,192.25000000000006,660
0,30,191.9444444444445,660
0,31,261.86111111111114,678
0,32,270.8611111111111,708
0,33,276.19444444444446,708
0,34,256.1111111111111,720
0,35,278.2777777777778,726
0,36,257.2777777777778,726
0,37,273.5277777777778,732
0,38,279.5277777777778,738
0,39,259.72222222222206,738
0,40,262.97222222222223,744
0,41,267.80555555555577,762
0,42,255.66666666666669,768
0,43,266.4722222222223,768
0,44,265.27777777777777,780
0,45,272.638888888889,780
0,46,273.0277777777778,864
0,47,266.49999999999994,912
0,48,278.3611111111112,930
0,49,270.9722222222223,936
0,50,277.1388888888889,936
